### header ###
fiducial parameters:
Omega_m = 0.31
Omega_nu = 0
Omega_de = 0.69
Omega_k = 0
H_0 = 100
w_de = -1
zeff = 0
beta = 0
fgrowth = 0
b_1 = 2
gamma = 0.55
Lx = 3500 Ly = 3500 Lz = 3500
nx = 700 ny = 700 nz = 700
xoffset = -685.371 yoffset = -31.899 zoffset = 571.181
bins = 400 dk = 0.001
kx_ny = 0.628319 ky_ny = 0.628319 kz_ny = 0.628319
############################
A(data) = 8.09235 (not used)
A(ran) = 8.09224 (used)
Ngal = 429199
weighted Ngal = 0
Nran = 21653910
weighted Nran = 0
SN(data) = 3607.12
SN(ran) = 69.1565
SN(data+ran) = 3676.27
############################
13 columns: k_central k_mean P_0(k) sigma^{lin}_{P_0(k)} P^img_1(k) sigma^{lin}_{P_1(k)} P_2(k) sigma^{lin}_{P_2(k)} P^img_3(k) sigma^{lin}_{P_3(k)} P_4(k) sigma^{lin}_{P_4(k)} N_modes
### header ###
0.00050000 0 0 0 0 0 0 0 0 0 0 0 0
0.00150000 0.00179520 172450.35181793 0 -123659.04527209 0 67975.77014287 0 117145.19658128 0 -382408.20395903 0 3
0.00250000 0.00253879 279670.31643178 0 -75109.00468404 0 78019.69743236 0 -60435.51694138 0 297517.79680695 0 6
0.00350000 0.00331552 242589.10061413 0 41185.39445817 0 36110.94799379 0 -125426.18831314 0 241010.18709499 0 7
0.00450000 0.00420575 180132.33077711 0 111725.29358255 0 33395.46033202 0 -96811.64711457 0 130665.61241733 0 24
0.00550000 0.00557378 89639.65943654 0 41693.06055111 0 67665.41287821 0 21127.98877244 0 17445.77643076 0 45
0.00650000 0.00659388 74162.76380504 0 11165.88596336 0 51482.65653952 0 78926.63155826 0 -16209.88353450 0 40
0.00750000 0.00754703 57093.11424837 0 -6385.54259081 0 40537.55273304 0 35989.04169754 0 -30361.86477820 0 57
0.00850000 0.00846663 67765.61741782 0 -11539.13403300 0 22108.22168864 0 27540.63641441 0 -34804.41366519 0 75
0.00950000 0.00948925 81978.60717127 0 -20002.26550813 0 31354.94159119 0 3499.03179989 0 -15263.64265550 0 112
0.01050000 0.01054430 93982.00378392 0 -8478.99811660 0 5014.41231922 0 5094.00019002 0 -6865.77146285 0 105
0.01150000 0.01145670 97454.50629354 0 874.37706200 0 30013.08654642 0 -11618.07970896 0 15499.70462063 0 144
0.01250000 0.01249090 90460.89376834 0 14876.66490309 0 24084.52094552 0 -13686.16853858 0 11884.03695110 0 169
0.01350000 0.01339930 86941.11243174 0 11912.27137939 0 50340.10334148 0 -6562.31225654 0 22597.50772238 0 180
0.01450000 0.01448870 81460.09020001 0 8973.03417768 0 50358.81557042 0 16923.49486906 0 39173.33159213 0 267
0.01550000 0.01550050 76990.85701022 0 -4597.46178352 0 56361.89791735 0 12459.02277893 0 31019.67159568 0 238
0.01650000 0.01653350 86241.34150320 0 -5189.11146021 0 44279.99852174 0 34518.19406863 0 11950.13873027 0 315
0.01750000 0.01747870 91962.96535324 0 -7828.29973166 0 35127.83627314 0 4218.57790055 0 6837.42631131 0 297
0.01850000 0.01844180 87055.82171686 0 8949.84872951 0 32074.08908816 0 17253.22870216 0 3011.84950787 0 388
0.01950000 0.01947590 83754.49734893 0 3717.47769624 0 24351.69614339 0 4919.56678482 0 5234.55228126 0 399
0.02050000 0.02045430 74471.01732799 0 2087.15537296 0 19641.63988879 0 503.61583652 0 -1110.15557562 0 462
0.02150000 0.02154770 80836.27541973 0 -1634.78447017 0 14114.66750907 0 10841.90973917 0 -16647.24036483 0 571
0.02250000 0.02255340 74897.08038701 0 -1900.63098907 0 17240.93842161 0 -13468.37590940 0 -15234.74388772 0 510
0.02350000 0.02348930 74155.67751715 0 8740.81430926 0 11167.54681209 0 -13145.28547119 0 -17352.43673253 0 555
0.02450000 0.02439640 74086.91838003 0 4639.19337576 0 18652.99200573 0 -2289.35816880 0 -7523.10217035 0 592
0.02550000 0.02547300 61536.54892134 0 9697.80641566 0 11386.77884350 0 5731.24570030 0 -16116.43311303 0 837
0.02650000 0.02652900 59335.26002415 0 2544.76348539 0 6873.89854926 0 4487.22571763 0 -14034.17170763 0 723
0.02750000 0.02749970 57424.61965344 0 -5018.14369268 0 5363.21269566 0 14050.44802512 0 -23046.37977052 0 826
0.02850000 0.02848090 59687.91356962 0 779.32558236 0 5649.14441177 0 -4347.53726772 0 -14535.52657542 0 831
0.02950000 0.02946900 57324.41511383 0 2112.22311635 0 3169.46405166 0 -3837.18059985 0 -12579.82184271 0 996
0.03050000 0.03053250 56520.89650174 0 3915.37335772 0 8899.13748184 0 -6421.22869370 0 -10437.45985819 0 1041
0.03150000 0.03150510 53882.58294396 0 213.68479668 0 11933.19807330 0 -2955.44708524 0 -358.79093512 0 1036
0.03250000 0.03246190 56139.45491174 0 302.38851249 0 18519.79193816 0 1404.51333092 0 -9952.93492413 0 1059
0.03350000 0.03345080 57019.15111858 0 -173.36824755 0 13852.80702710 0 1198.10305165 0 -291.09031225 0 1302
0.03450000 0.03451200 56844.42983294 0 1724.64745840 0 18914.29887145 0 -1962.65815270 0 -5295.93725006 0 1339
0.03550000 0.03553350 55672.75642064 0 3613.10996250 0 22937.76026405 0 -2556.36728180 0 2369.03461820 0 1365
0.03650000 0.03647120 53334.28141894 0 1408.79832063 0 20009.46251926 0 1563.15760092 0 -4570.82177001 0 1308
0.03750000 0.03744890 51650.29153727 0 1125.30251597 0 20114.98177479 0 -219.01169215 0 -7073.75401224 0 1579
